name,title,role
Mr Darren Stewart OBE,Area Coroner,Suffolk
Mr Joseph Turner,Area Coroner,"West Sussex, Brighton and Hove"
Mr Michael James Pemberton,Area Coroner,Greater Manchester West
Rosemary Jane Baxter,Area Coroner,Retired Member
Miss Laurinda Bower,Area Coroner,Nottinghamshire
Mr Oliver Robert Longstaff,Area Coroner,Yorkshire West Eastern
Ms ANN MARGARET TAYLOR,Area Coroner,Blackpool and Fylde
Miss Caroline Margaret Jones,Area Coroner,Cambridgeshire and Peterborough
Ms Yvonne Kathleen Blake,Area Coroner,Norfolk
Ms Jan Alam,Area Coroner,Yorkshire West Eastern
Ms Sonia Marie Hayes,Area Coroner,Essex
Miss Emma Serrano,Area Coroner,Staffordshire and Stoke-on-Trent
Mr Christopher John Long,Area Coroner,Lancashire and Blackburn with Darwen
Mrs Claire Welch,Area Coroner,Retired Member
Mrs Alison Longhorn,Area Coroner,"County of Devon, Plymouth & Torbay"
Mr Sean Kevan Horstead,Area Coroner,Essex
Mr Brendan Joseph Allen,Area Coroner,Dorset
Miss Sarah Clarke,Area Coroner,Kent North East
Mr Ivan Cartwright,Area Coroner,Leicester City and South Leicestershire
Dr clare Keane,Area Coroner,Corresponding Member
Miss Jayne Wilkes,Area Coroner,Greater Lincolnshire
Ms Joy Michelle Brown OBE,Area Coroner,Essex
Mr Nicholas Andrew Aldridge,Area Coroner,Corresponding Member
Mr Simon Milburn,Area Coroner,Cambridgeshire and Peterborough
Mrs Patricia Claire Morgan,Area Coroner,South Wales Central
Ms Deborah Archer,Area Coroner,"County of Devon, Plymouth & Torbay"
Ms Katrina Hepburn,Area Coroner,Kent Central and South East
Mr Peter Sigee,Area Coroner,Greater Manchester West
Ms Elizabeth Gray,Area Coroner,Cambridgeshire and Peterborough
Mr Grant Davies,Area Coroner,Wiltshire and Swindon
Mrs Samantha Goward,Area Coroner,Norfolk
Mr James Bennett,Area Coroner,Birmingham and Solihull
Mr Delroy Henry,Area Coroner,Coventry
Ms Suzanne Anderson,Area Coroner,Corresponding Member
Miss Lorraine Harris,Area Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Dr Crona Gallagher,Area Coroner,Corresponding Member
Mr Chris Morris,Area Coroner,Greater Manchester South
Mr Tony Badenoch,Assistant Coroner,London Inner South
Jonathan Saul Godfrey,Assistant Coroner,Yorkshire South East
Mr Nick Seán Stanage,Assistant Coroner,Manchester City
Mr Professor John S Pollard,Assistant Coroner,Greater Manchester West
Ms Jenny Goldring,Assistant Coroner,London Inner South
Mrs Marilyn Whittle,Assistant Coroner,Yorkshire South West
Daniel Kremer,Assistant Coroner,East Sussex
Ms Katy Ainge,Assistant Coroner,Liverpool and the Wirral
Mrs Kiran Chahal-Musgrave,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mr James Hargan,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mrs Jean Harkin,Assistant Coroner,Cheshire
Miss Kerrie Burge,Assistant Coroner,South Wales Central
Ms Sally Ann Case,Assistant Coroner,Surrey
Miss Janine Richards,Assistant Coroner,County Durham and Darlington
Dr Simon Fox QC,Assistant Coroner,Avon
Ms Melanie Lee,Assistant Coroner,London Inner North
Miss ana samuel,Assistant Coroner,Birmingham and Solihull
Mr Tom Stoate,Assistant Coroner,Bedfordshire and Luton
Mr Stephen Covell,Assistant Coroner,Cornwall and the Isles of Scilly
Dr Bridget Dolan KC,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr james puzey,Assistant Coroner,Worcestershire
Mr James Newman,Assistant Coroner,Lancashire and Blackburn with Darwen
Miss Janine Wolstenholme,Assistant Coroner,Yorkshire West Eastern
Ms Myfanwy Buckeridge,Assistant Coroner,Avon
Mr Jonathan David Leach,Assistant Coroner,North Yorkshire and York
Mrs Helen Rimmer,Assistant Coroner,Liverpool and the Wirral
Ms Rebecca Anne Mundy,Assistant Coroner,Essex
Mr David Lewis,Assistant Coroner,Liverpool and the Wirral
Ms Kate Fawell-Comley,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr Philip Barlow,Assistant Coroner,London Inner South
Mr Richard G Taylor,Assistant Coroner,Lancashire
Mrs Rebecca Sutton,Assistant Coroner,County Durham and Darlington
Dr Karen Henderson,Assistant Coroner,Surrey
Ms Vanessa McKinlay,Assistant Coroner,Birmingham and Solihull
Ms Sally Olsen,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mr Heath Westerman,Assistant Coroner,"Shropshire, Telford and Wrekin"
Miss Sabyta Kaushal,Assistant Coroner,Derby and Derbyshire
Ms Mary T Burke,Assistant Coroner,Yorkshire West Western
Miss Bronia Elisabeth Hartley,Assistant Coroner,Greater Manchester West
Ms Saoirse Townshend,Assistant Coroner,Bedfordshire and Luton
Mrs Emma Hillson,Assistant Coroner,Cornwall and the Isles of Scilly
Ms AMANDA CLAIRE HILL,Assistant Coroner,Yorkshire West Western
Mrs Anna Loxton,Assistant Coroner,Surrey
Miss Caroline Topping,Assistant Coroner,Surrey
Mrs kirsten heaven,Assistant Coroner,Swansea and Neath Port Talbot
Mr John Joseph Buckley,Assistant Coroner,Warwickshire
Mrs Lauren Costello,Assistant Coroner,Greater Manchester South
Mr Nadim Bashir,Assistant Coroner,Yorkshire East
Dr Elizabeth Didcock,Assistant Coroner,Nottinghamshire
Anthony Howard,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Crispin Oliver,Assistant Coroner,County Durham and Darlington
Miss Hannah Mettam,Assistant Coroner,Nottinghamshire
Mrs Julie Mitchell,Assistant Coroner,Greater Manchester North
Mr Simon Nicholas Burge,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Ms Sabina Khan,Assistant Coroner,London Inner West
Mr Sebastian Hugh Joseph Naughton,Assistant Coroner,London South
Mr Andrew Morse,Assistant Coroner,South Wales Central
Mr Ian Mullarkey,Assistant Coroner,Yorkshire South East
Miss Rachel Raheela Syed,Assistant Coroner,Greater Manchester West
Mr Adam Smith,Assistant Coroner,Milton Keynes
Mrs Charlotte Keighley,Assistant Coroner,Cheshire
Miss Jessica Swift,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Miss Michelle Haste,Assistant Coroner,London Inner South
Mr Ian Christopher James Dreelan,Assistant Coroner,Birmingham and Solihull
Mr Neil Cameron,Assistant Coroner,Yorkshire South East
Dr Shirley Radcliffe,Assistant Coroner,London East
Ms Justine Spencer,Assistant Coroner,Berkshire
Ms KATY THORNE KC,Assistant Coroner,Berkshire
Mr James Brooks,Assistant Coroner,Corresponding Member
Dr Richard Ian Brittain,Assistant Coroner,London Inner North
Mr Xavier Mooyaart,Assistant Coroner,London Inner South
Sian Scott Jones,Assistant Coroner,Lancashire and Blackburn with Darwen
Mrs LOUISA ALICE ELIZABETH JONES CORCORAN,Assistant Coroner,Ceredigion
Mrs Rebecca Connell,Assistant Coroner,Yorkshire South West
Mrs Sarah L. Whitby,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
John Ryan,Assistant Coroner,Coventry
Miss Rachel Young,Assistant Coroner,Greater Lincolnshire
Ms Allison SUMMERS,Assistant Coroner,Kent Mid and Medway
Miss Kelly Elizabeth Dixon,Assistant Coroner,The Black Country Jurisdiction
Ms Angela Woolnough,Assistant Coroner,Coventry
Mr Nicholas Leslie Rheinberg,Assistant Coroner,Wiltshire and Swindon
Mr Michael Walsh,Assistant Coroner,Oxfordshire
Mr James Maxwell-Scott KC,Assistant Coroner,Hertfordshire
Mrs Priya Malhotra,Assistant Coroner,London Inner West
Mr Keith Morton QC,Assistant Coroner,Cambridgeshire and Peterborough
Miss Sian Reeves,Assistant Coroner,London South
Ms Saba Naqshbandi,Assistant Coroner,London Inner North
Ms Abigail Combes,Assistant Coroner,Yorkshire South East
Mr Matthew Stanbury,Assistant Coroner,Yorkshire South East
Mr David Manknell KC,Assistant Coroner,London Inner South
Miss Isobel Thistlethwaite,Assistant Coroner,Leicester City and South Leicestershire
Mr Benjamin John Myers,Assistant Coroner,Greater Manchester South
Mrs Sally Anne Robinson,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Ms Fiona Borrill,Assistant Coroner,Manchester City
Mr John Hobson,Assistant Coroner,Yorkshire West Eastern
Mr Martin Douglas Oldham,Assistant Coroner,Retired Member
Mrs Lindsey Tonks,Assistant Coroner,Staffordshire and Stoke-on-Trent
Miss Jane Eatock,Assistant Coroner,Greater Lincolnshire
Ms Nicola Jones,Assistant Coroner,Retired Member
Mr J Mark Layton,Assistant Coroner,Ceredigion
Mr Mr P J Bennett,Assistant Coroner,Carmarthenshire and Pembrokeshire
Ms Joanna Coleman,Assistant Coroner,Oxfordshire
Mrs Hannah Victoria Berry,Assistant Coroner,Yorkshire South West
SARAH ANNE MARGARET MARTIN,Assistant Coroner,Wolverhampton
Mrs Alison Norton,Assistant Coroner,North Yorkshire and York
Ms Victoria Alexandra Webb,Assistant Coroner,London South
Mr Philip Anthony Holden,Assistant Coroner,Yorkshire West Eastern
Miss Elizabeth Dudley-Jones,Assistant Coroner,North Wales (East & Central)
Joanna Lesley Pratt,Assistant Coroner,East Sussex
Ms Jyoti Gill,Assistant Coroner,Greater Manchester South
Mr Edward Steele,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr Richard Thomas Middleton,Assistant Coroner,Dorset
Mrs Deborah Rachel Lakin,Assistant Coroner,Warwickshire
Mr Adrian John Farrow,Assistant Coroner,Greater Manchester South
Ms Angharad Davies,Assistant Coroner,Manchester City
Dr M D Dominic Bell,Assistant Coroner,Yorkshire West Western
Miss Kirsten Mercer,Assistant Coroner,Newcastle and North Tyneside
Dr Nicholas Alastair Shaw,Assistant Coroner,Cumbria
Ms Sophie Kate Mortimer,Assistant Coroner,Hertfordshire
Mrs Deborah Suzanne Rookes,Assistant Coroner,Dorset
Mr Ian Geoffrey Pears,Assistant Coroner,Yorkshire West Western
Mr Ian Arrow,Assistant Coroner,London West
Mr Scott McDonnell,Assistant Coroner,Surrey
Miss Thea Wilson,Assistant Coroner,Essex
Mr Michael Senior Salt,Assistant Coroner,Greater Manchester North
Miss Neena Sharma,Assistant Coroner,Nottinghamshire
Ms jessica russell-mitra,Assistant Coroner,Retired Member
Mr Chris Murray,Assistant Coroner,Greater Manchester South
Mr Matthew A Cox,Assistant Coroner,Greater Manchester North
Miss Laura Nash,Assistant Coroner,Lancashire and Blackburn with Darwen
Ms Hannah Hinton,Assistant Coroner,London West
Mr Michael Wallbank,Assistant Coroner,Greater Manchester South
Ms Leila Benyounes,Assistant Coroner,Gateshead and South Tyneside
Mr Henry Frederick Charles,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mr Andrew David Cousins,Assistant Coroner,Blackpool and Fylde
Thomas Victor Laffey,Assistant Coroner,Gateshead and South Tyneside
Mr Jonathan Dixey,Assistant Coroner,Northamptonshire
Miss Helena Gallagher,Assistant Coroner,Yorkshire West Eastern
Ms Rachel Spearing,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mr Harry Nathaniel Lambert,Assistant Coroner,London Inner North
Ms Johanna Thompson,Assistant Coroner,Norfolk
Ms Alicia Keen,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr Scott Matthewson,Assistant Coroner,Kent Mid and Medway
Helen Daly,Assistant Coroner,London North
Miss Sarah Riley,Assistant Coroner,North West Wales
Miss Sophie Cartwright KC,Assistant Coroner,Derby and Derbyshire
Mrs Victoria Louise Cook,Assistant Coroner,Dorset
Robert Edward Stone,Assistant Coroner,
Mrs Eleanor Kay McGann,Assistant Coroner,Essex
Mr Stephen Simblet KC,Assistant Coroner,Essex
Miss Sarah Murphy,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr Michael Wall,Assistant Coroner,Nottinghamshire
Miss Anna Crawford,Assistant Coroner,Surrey
Mrs Helen Rachel Redman,Assistant Coroner,East Sussex
Ms Karen Dempsey,Assistant Coroner,London South
Mrs Emma Morris,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mr Anthony Mazzag,Assistant Coroner,Manchester City
Miss Charlotte Mary Crangle,Assistant Coroner,Derby and Derbyshire
Mr Alexander Miles Frodsham,Assistant Coroner,Cheshire
Mrs Emma Mather,Assistant Coroner,Yorkshire West Eastern
Mr Gordon Clow,Assistant Coroner,Nottinghamshire
Ms Louise Wiltshire,Assistant Coroner,"County of Devon, Plymouth & Torbay"
Dr Murray James Spittal,Assistant Coroner,Retired Member
Mrs Michaela Amy Blackmore,Assistant Coroner,Warwickshire
Mr David Julian Rosenberg,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr Duncan Ritchie,Assistant Coroner,Staffordshire and Stoke-on-Trent
Miss Kate Thomas,Assistant Coroner,Kent Mid and Medway
Ms Caroline Cross,Assistant Coroner,London Inner South
Ms Sally Hatfield,Assistant Coroner,Manchester City
Miss Lorna Jane Skinner QC,Assistant Coroner,Cambridgeshire and Peterborough
Dr Marc Lindsey Leeming,Assistant Coroner,Southend (No 2)
Mr Russell Ashley Caller,Assistant Coroner,London Inner West
Mr Nathanael James Hartley,Assistant Coroner,Nottinghamshire
Mrs Dianne Hocking,Assistant Coroner,Leicester City and South Leicestershire
J. Nigel Anderson,Assistant Coroner,Derby and Derbyshire
Mr Jake Taylor,Assistant Coroner,London Inner West
Mr Andrew Perfect,Assistant Coroner,London North
Mr Andrew James Blair,Assistant Coroner,Teesside and Hartlepool
Ms Rebecca Ollivere,Assistant Coroner,Birmingham and Solihull
Mr Joseph Hart,Assistant Coroner,Liverpool and the Wirral
Ms Sophie Lomas,Assistant Coroner,Derby and Derbyshire
Mrs Elizabeth Megan Brown,Assistant Coroner,Nottinghamshire
Mrs Laura May Bradford,Assistant Coroner,East Sussex
Mr Craig Smith,Assistant Coroner,Cumbria
Miss Clare Doherty,Assistant Coroner,Blackpool and Fylde
Mrs Angela Carol Brocklehurst,Assistant Coroner,Yorkshire West Western
Mr James Jerome Dillon,Assistant Coroner,Kent North East
Mr Ian Potter,Assistant Coroner,London Inner North
Mr David John John Sapiecha,Assistant Coroner,Somerset
Mr Nicholas Graham,Assistant Coroner,Oxfordshire
Miss Sarah Valentine,Assistant Coroner,London Inner South
James Stewart Hunter,Assistant Coroner,Lancashire and Blackburn with Darwen
Mrs Gaynor Kynaston,Assistant Coroner,South Wales Central
Miss Linda Jacobs,Assistant Coroner,London City
Mr Carl John FITCH,Assistant Coroner,Yorkshire South West
Sir Scott Baker,Assistant Coroner,Honorary Member
Mr Thomas Crookes,Assistant Coroner,Newcastle and North Tyneside
Dr Gill Kane,Assistant Coroner,North Yorkshire and York
Mr Andrew Michael Bridgman,Assistant Coroner,Greater Manchester South
Mrs Sally Morgan,Assistant Coroner,"West Sussex, Brighton and Hove"
Jo Cooper,Assistant Coroner,Kent Mid and Medway
Dr Sam Bass,Assistant Coroner,Cambridgeshire and Peterborough
Miss Rachel Elisabeth Knight,Assistant Coroner,South Wales Central
Mr Richard Mumford,Assistant Coroner,Hertfordshire
Mr Paul John Rogers,Assistant Coroner,London Inner West
Ms Anita Davies,Assistant Coroner,Cambridgeshire and Peterborough
Ms Sarah Nolan,Assistant Coroner,Derby and Derbyshire
Mr Edwin Buckett,Assistant Coroner,London Inner North
Mrs Katy Dickinson,Assistant Coroner,Yorkshire South West
Ms Fleur Hallett,Assistant Coroner,London Inner South
Mr James Lester-Ashworth,Assistant Coroner,Manchester City
Mr Jonathan Straw,Assistant Coroner,Nottinghamshire
Miss CARLY ELIZABETH HENLEY,Assistant Coroner,Northumberland North
Mrs Susan Duncan,Assistant Coroner,Greater Manchester West
Mr Simon Jones,Assistant Coroner,Lancashire and Blackburn with Darwen
Mrs Li Hammond Naylor,Assistant Coroner,Staffordshire and Stoke-on-Trent
Ms Laura Stephenson,Assistant Coroner,London South
Mr Simon M Holder,Assistant Coroner,"Sefton, Knowsley and St Helens"
Mr christopher paul williams,Assistant Coroner,London Inner South
Mr Mark Andrew Beresford,Assistant Coroner,Yorkshire South
Samuel James Faulks,Assistant Coroner,Teesside and Hartlepool
Ms Susan Ridge,Assistant Coroner,Surrey
Ms Alexandra Pountney,Assistant Coroner,Yorkshire South West
Miss S DEONARINE,Assistant Coroner,London Inner South
Ms Kate Wilson,Assistant Coroner,Liverpool and the Wirral
Dr Patricia Londono,Assistant Coroner,London South
Mr Ivor Collett,Assistant Coroner,London West
Mr Mr Roland Wooderson,Assistant Coroner,Herefordshire
Mr Peter Taheri,Assistant Coroner,Suffolk
Ms Anna Jayne Walsh,Assistant Coroner,Surrey
Mr Tim Deeming,Assistant Coroner,Suffolk
Mrs Karen Harrold,Assistant Coroner,"West Sussex, Brighton and Hove"
Mrs LINDA KAREN HADFIELD LEE,Assistant Coroner,Coventry
Ms Marianne Johnson,Assistant Coroner,Greater Lincolnshire
Mr Matthew Kewley,Assistant Coroner,Derby and Derbyshire
Mr Stephen George Eccleston,Assistant Coroner,Yorkshire West Western
Timothy H Ratcliffe,Assistant Coroner,Yorkshire West Western
Mr Patrick Cassidy,Assistant Coroner,Blackpool and Fylde
Mrs Jo Wharton,Assistant Coroner,Teesside and Hartlepool
Miss Lisa Judge,Assistant Coroner,Greater Manchester West
Kevin Paul Eastwick,Assistant Coroner,Essex
Ms Tina Amanda Harrington,Assistant Coroner,Essex
Ms Valerie Charbit,Assistant Coroner,London West
Dr Jeane Rosa Mellani,Assistant Coroner,Essex
Ms Gilva Dagmar Jane Tisshaw,Assistant Coroner,Brighton and Hove
Miss Sarah Jane Wood,Assistant Coroner,Nottinghamshire
Ms Rachel Galloway,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Bernard Richmond QC,Assistant Coroner,London Inner West
Mr Paul Stanford Cooper,Assistant Coroner,Greater Lincolnshire
Mr Kevin Baumber,Assistant Coroner,Hertfordshire
Miss Sarah Anna Middleton,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mrs Karen Dilks,Assistant Coroner,Newcastle and North Tyneside
Ms Susanna Rickard,Assistant Coroner,Birmingham and Solihull
Ms Eunice Marland,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Ms Anna Morris,Assistant Coroner,Greater Manchester South
Mr Tim Holloway,Assistant Coroner,Blackpool and Fylde
Donald Georgelin,Assistant Coroner,Corresponding Member
Mr Tim Suter,Assistant Coroner,Berkshire
