sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
East Suffolk and North Essex NHS Foundation Trust,8,12,7,5,1,1,1
University Hospitals of Leicester NHS Trust,8,11,13,6,2,0,0
Leicestershire Partnership NHS Trust,8,9,10,6,0,2,0
The College of Policing,8,30,29,4,3,1,0
West Sussex County Council,8,12,9,6,0,2,0
Kernow Clinical Commissioning Group,8,15,9,5,0,3,0
University College London Hospitals NHS Trust,8,10,8,7,0,1,0
West Midlands Ambulance Service,8,18,10,5,1,2,0
University Hospital Southampton NHS Foundation Trust,8,11,9,6,0,1,1
National Probation Service,8,16,9,3,1,4,0
Royal Bolton Hospital,8,13,9,5,0,3,0
Practise Plus Group,8,25,15,3,3,2,0
Oxford Health NHS Foundation Trust,8,14,13,7,0,1,0
Royal Cornwall Hospital,8,11,3,4,0,3,1
Royal College of Pathologists,8,36,20,1,4,2,1
NHS Wales,8,22,13,3,1,4,0
NHS Pathways,8,16,9,4,0,4,0
Mid Yorkshire Hospitals NHS Trust,8,12,11,5,1,2,0
Royal College of Obstetricians and Gynaecologists,8,28,19,5,1,2,0
Queen’s Hospital,8,11,5,3,0,4,1
Nottinghamshire Healthcare NHS Trust,7,15,4,1,0,6,0
Nottinghamshire Healthcare NHS Foundation Trust,7,11,11,7,0,0,0
Essex Police,7,15,6,2,1,2,2
Healthcare Safety Investigation Branch,7,19,10,1,3,2,1
Walsall Healthcare NHS Trust,7,10,4,3,1,3,0
Avon Fire and Rescue Services,7,38,33,3,1,3,0
Hampshire County Council,7,13,9,2,1,3,1
NHS England and NHS Improvement,7,27,24,2,2,3,0
Cwm Taf Health Board,7,10,4,3,0,4,0
North East Ambulance Service NHS Trust,7,11,6,5,0,2,0
British Medical Association,7,34,7,0,1,6,0
Western Sussex Hospital Trust,7,10,7,3,0,4,0
National Assembly for Wales,7,25,2,0,0,7,0
Birmingham and Solihull Clinical Commissioning Group,7,23,14,4,0,3,0
Calderdale Council,7,9,5,3,1,2,1
Hywel Dda University Health Board,7,21,4,3,0,3,1
Leed City Council,7,12,7,6,0,1,0
Royal Pharmaceutical Society,7,24,13,3,1,3,0
Maidstone & Tonbridge Wells NHS Trust,7,9,7,5,1,1,0
St George’s Hospital,7,13,7,2,1,4,0
Stockport Clinical Commissioning Group,7,14,7,5,0,2,0
Stockport NHS Trust,7,15,3,2,0,2,3
Department for Transport ,7,7,6,4,0,1,2
Staffordshire County Council,7,10,4,3,0,4,0
Kings College Hospital,7,16,9,3,1,2,1
Association of Police Officers,7,27,12,2,2,3,0
The Priory Group,7,9,7,5,0,2,0
Trafford Clinical Commissioning Group,7,12,11,3,1,3,0
Devon County Council,6,11,4,3,0,3,0
Dorset Police,6,25,26,3,2,1,0
Birmingham Clinical Commissioning Group,6,13,12,5,1,0,0
Food Standards Agency,6,25,23,4,1,0,1
Dorset Healthcare University NHS Foundation Trust,6,18,12,0,1,4,1
Essex Partnership NHS Trust,6,10,5,3,1,1,1
Bedfordshire Police,6,10,7,3,2,1,0
Barts Health,6,6,6,6,0,0,0
Doncaster and Bassetlaw Hospital NHS Foundation Trust,6,9,3,3,0,3,0
Birmingham Community Healthcare NHS Trust,6,16,5,2,1,3,0
NHS Brighton and Hove Clinical Commissioning Group,6,19,13,1,0,4,1
HC One,6,7,6,5,0,1,0
Lincolnshire Partnership NHS Foundation Trust,6,18,9,1,1,3,1
Mid & South Essex NHS Trust,6,11,11,6,0,0,0
Mid and South Essex NHS Foundation Trust,6,12,10,4,1,1,0
OFCOM,6,22,16,3,1,2,0
Plymouth Hospitals NHS Trust,6,8,5,3,0,3,0
Rotherham Doncaster and South Humber NHS Foundation Trust,6,7,5,3,0,1,2
Royal Free Hospital,6,10,9,5,0,1,0
Sandwell and West Birmingham NHS Trust,6,10,7,3,1,1,1
Sherwood Forest Hospitals NHS Foundation Trust,6,8,7,5,1,0,0
Tameside and Glossop Clinical Commissioning Group,6,13,5,2,0,2,2
Tees Esk & Wear Valley NHS Foundation Trust,6,10,10,2,1,3,0
"Tees, Esk and Wear Valley NHS Trust",6,17,17,1,1,3,1
Thames Valley Police,6,20,18,4,2,0,0
The Highways Agency,6,6,3,3,0,3,0
University Hospital of North Midalnds,6,6,5,5,0,1,0
University Hospitals Sussex NHS Foundation Trust,6,14,15,5,1,0,0
Lincolnshire Police,6,11,2,2,0,4,0
Birmingham and Solihull Integrated Care Service,6,21,17,3,3,0,0
BCP Council,6,19,21,5,1,0,0
Isle of Wight NHS Trust,6,9,1,1,0,4,1
HMP Woodhill,6,16,4,0,0,4,2
HMP Belmarsh,6,19,10,1,1,4,0
Kent County Council,6,7,4,4,0,2,0
HMP Wandsworth,6,12,2,1,0,4,1
Herefordshire and Worcestershire Health and Care NHS Trust,6,11,7,2,3,1,0
St Peter’s Hospital,5,10,1,1,0,3,1
Central Manchester University Hospitals NHS Foundation Trust,5,14,4,1,0,4,0
HMP Wormwood Scrubs,5,10,3,1,0,4,0
Tameside Clinical Commissioning Group,5,9,4,2,0,3,0
St George’s University Hospitals NHS Foundation Trust,5,10,6,2,0,2,1
South West Yorkshire Partnership NHS Foundation Trust,5,8,5,3,0,2,0
Cornwall Partnership Foundation Trust,5,8,4,2,0,3,0
South West London and St George’s Mental Health NHS Trust,5,9,7,3,1,1,0
South Staffordshire & Shropshire NHS Trust,5,7,3,2,0,3,0
South Central Ambulance Service NHS Trust,5,9,5,2,1,1,1
SoS for Health and Social Care,5,11,9,3,1,1,0
Frimley Park Hospital,5,8,5,2,2,1,0
The Dudley Group NHS Trust,5,7,5,4,0,1,0
Cumbria Northumberland Tyne and Wear NHS Foundation Trust,5,6,5,4,0,1,0
HMP Long Lartin,5,5,4,2,0,2,1
The National Institute for Health and Care Excellence,5,14,7,3,1,1,0
UK Health Security Agency,5,16,15,2,0,3,0
University Hospital Lewisham,5,9,6,3,0,2,0
Gloucestershire Hospitals NHS Trust,5,5,4,4,0,1,0
Welsh Ambulance Service,5,8,5,3,0,2,0
British Society of Gastroenterology,5,22,11,2,2,1,0
West London Mental Health NHS Trust,5,7,1,1,0,4,0
Whittington Health NHS Trust,5,11,7,3,1,1,0
Brighton and Sussex University Hospitals,5,8,2,1,0,4,0
Brighton and Hove City Council,5,13,6,0,0,5,0
Whittington Hospital NHS Trust,5,9,5,3,0,2,0
Wiltshire Council,5,13,6,1,1,3,0
Yorkshire Ambulance Service,5,7,6,4,1,0,0
Heart of England NHS Trust,5,9,4,0,1,3,1
Sheffield City Council,5,5,4,4,0,1,0
Sheffield Clinical Commissioning Group,5,14,6,1,1,3,0
London Fire Brigade,5,12,10,4,1,0,0
MOD,5,9,9,5,0,0,0
East London Foundation NHS Trust,5,7,5,4,0,0,1
Manchester University NHS Trust,5,11,2,2,0,1,2
Medicines & Healthcare products Regulatory Agency,5,9,4,2,0,2,1
EMIS Health,5,11,7,2,0,3,0
Kent and Medway NHS and Social Care Partnership Trust,5,12,4,1,0,4,0
Milton Keynes Clinical Commissioning Group,5,7,4,3,0,2,0
Ministry for Justice,5,19,10,1,1,1,2
NHS Northern Eastern and Western Devon Clinical Commissioning Group,5,15,7,2,0,3,0
Dorset Council,5,13,13,5,0,0,0
National Highways ,5,5,5,5,0,0,0
Doncaster Royal Infirmary,5,5,4,4,0,1,0
Devon and Cornwall Constabulary,5,7,8,2,0,3,0
Devon Partnership Trust,5,10,6,2,1,1,1
Norfolk and Norwich University Hospital,5,9,6,2,1,2,0
Northamptonshire Healthcare Foundation Trust,5,8,2,2,0,2,1
Northumbria Police,5,11,7,3,1,1,0
Derbyshire County Council,5,13,7,1,1,2,1
Oxford Health NHS Trust,5,7,5,3,0,0,2
Highways Agency,5,8,4,3,0,2,0
Hertfordshire County Council,5,9,7,4,1,0,0
Great Western Hospital NHS Trust,5,8,3,3,0,2,0
Royal Cornwall Hospital Trust,5,12,4,2,1,2,0
Hellesdon Hospital,5,6,5,4,1,0,0
Secretary of State for Health and Social Care [REDACTED],5,20,8,0,2,3,0
Department for Digital Culture Media & Sport,5,11,5,2,0,3,0
Department for Business and Trade,5,18,6,0,2,3,0
Department for Business Innovation and Skills,5,12,6,2,0,3,0
Serco,5,21,6,1,1,1,2
Royal College of Nursing,5,13,8,3,1,1,0
southern Health NHS Trust,5,9,5,1,0,3,1
Bedford Hospital NHS Trust,5,5,3,3,0,2,0
Priory Group,4,16,7,3,0,1,0
Suffolk County Council,4,12,9,2,0,1,1
Royal Berkshire NHS Foundation Trust,4,11,9,2,2,0,0
Cygnet Health Care,4,11,8,3,0,1,0
Powys Teaching Health Board,4,19,5,1,1,1,1
North East Ambulance Service NHS Foundation Trust,4,8,7,3,1,0,0
Royal College Emergency Medicine,4,11,4,0,1,2,1
Cwm Taf Morgannwg University Health Board,4,5,5,4,0,0,0
Plymouth City Council,4,9,1,1,0,3,0
Isle of Wight Council,4,8,3,1,0,3,0
Manchester Mental Health and Social Care Trust,4,17,4,0,0,4,0
Sunderland City Council,4,4,3,3,0,1,0
Trafford Borough Council,4,13,4,1,0,3,0
Joint Royal Colleges Ambulance Liaison Committee,4,19,6,0,1,3,0
North Cumbria University Hospitals NHS Trust,4,5,4,3,0,1,0
Royal Cornwall Hospitals NHS Trust,4,7,5,1,0,2,1
The Lakes Care Centre,4,7,5,2,0,2,0
George Eliot Hospital NHS Trust,4,14,9,1,1,2,0
Stockport Metropolitan Borough Council,4,7,5,2,0,2,0
Independent Office for Police Conduct,4,8,5,2,2,0,0
Clinical Commissioning Group,4,11,5,0,1,3,0
West Mercia Police,4,8,8,3,1,0,0
Staffordshire Police,4,19,14,1,2,1,0
Oxford University Hospitals NHS Foundation Trust,4,4,4,4,0,0,0
Luton and Dunstable Hospital,4,10,9,1,1,0,2
Practice Plus Group,4,8,3,1,2,0,1
City Hospitals Sunderland NHS Foundation Trust,4,4,2,2,0,2,0
East Kent Hospitals University NHS Foundation Trust,4,12,4,2,0,2,0
Devon & Cornwall Police,4,6,4,2,0,1,1
Derbyshire Constabulary,4,14,9,3,0,1,0
Local Government Association,4,27,12,1,1,1,1
The Great Western Hospital,4,5,3,2,0,1,1
The East of England Ambulance Service NHS Trust,4,14,11,2,1,1,0
Prison and Probation Ombudsman,4,11,2,0,0,2,2
Leicester City Council,4,8,6,1,2,1,0
Dyfed-Powys Police,4,7,4,1,0,2,1
British Standards Institution,4,18,17,3,0,1,0
London Borough of Camden,4,4,2,2,0,2,0
British Society for Allergy and Clinical Immunology,4,28,19,2,1,0,1
Wiltshire Police,4,11,4,2,1,1,0
East of England Ambulance NHS Trust,4,7,1,1,0,2,1
NHS,4,10,2,0,0,1,3
West Yorkshire Integrated Care Board,4,13,5,2,0,2,0
King’s College Hospital NHS Foundation Trust,4,5,2,2,0,2,0
Department for Science Innovation and Technology,4,10,9,3,0,1,0
Epsom & St Helier University Hospital NHS Trust,4,10,5,1,0,1,2
Bury Metropolitan Borough Council,4,9,6,3,1,0,0
Essex County Council,4,10,10,2,2,0,0
London Borough of Lewisham,4,21,15,1,2,0,1
Tameside Metropolitan Borough Council,4,9,7,2,0,2,0
North Yorkshire County Council,4,7,5,2,1,1,0
Worcestershire County Council,4,6,0,0,0,3,1
Royal Society for Prevention of Accidents,4,21,12,0,3,1,0
Midlands Partnership NHS Trust,4,4,2,2,0,2,0
South Yorkshire Police,4,11,3,1,0,3,0
Cheshire and Wirral Partnership NHS Foundation Trust,4,7,6,1,0,3,0
South Western Ambulance Service,4,8,1,0,1,3,0
Cheshire East Council,4,8,7,3,0,0,1
Salford Royal Hospital,4,6,4,3,0,1,0
Greater Manchester Integrated Care Partnership,4,7,5,3,0,0,1
Salford Royal NHs Trust,4,7,6,3,0,0,1
South Tyneside Council,4,6,3,2,0,2,0
HMP Swaleside,4,5,2,2,0,1,1
Milton Keynes Hospital,4,4,2,2,0,2,0
Highways Department,4,6,4,1,0,2,1
HMP Winchester,4,11,2,0,0,4,0
South London and Maudsley NHS trust,4,6,6,4,0,0,0
Advisory Council on the Misuse of Drugs,4,8,1,0,0,4,0
Canal and River Trust,4,6,4,2,0,1,1
South London & Maudsley NHS Foundation Trust,4,14,6,1,1,2,0
South Lincolnshire Clinical Commissioning Group,4,13,3,0,1,3,0
Nottinghamshire County Council,4,9,6,2,0,2,0
Nottingham West Clinical Commissioning Group,4,23,9,0,2,2,0
Northamptonshire Integrated Care Board,4,9,4,1,0,2,1
Black Country Partnership NHS Trust,4,9,9,4,0,0,0
New Cross Hospital,4,6,1,0,0,4,0
Northern Health and Social Care Trust,4,5,5,2,0,2,0
HMP Durham,4,10,7,3,1,0,0
Devon and Cornwall Police,4,13,7,0,3,1,0
Royal Sussex County Hospital,4,8,3,1,0,3,0
NHS Derby & Derbyshire Integrated Care Board,4,12,10,2,2,0,0
University Hospitals of Derby and Burton,4,9,6,1,2,1,0
Northampton General Hospital,4,7,1,1,0,3,0
Calderdale and Huddersfield NHS Trust,4,6,1,1,0,2,1
Wye Valley NHS Trust,4,4,4,3,0,1,0
Hull University Teaching Hospitals NHS Trust,4,9,7,2,1,1,0
National Patient Safety Agency,4,10,0,0,0,4,0
Casualty Reduction Team,3,3,2,0,0,3,0
Product Safety and Standards,3,3,3,3,0,0,0
Medicines and Healthcare Products Regulatory Agency MHRA,3,9,8,2,1,0,0
Health Inspectorate Wales,3,7,1,0,1,2,0
Warwickshire Police,3,6,5,2,0,0,1
The Northern Care Alliance NHS Trust,3,3,4,2,0,1,0
Warwick Hospital,3,3,3,3,0,0,0
Department of Business Energy and Industrial Strategy,3,4,4,1,0,1,1
OFSTED,3,5,3,1,0,2,0
Dept. of Health and Social Care,3,7,7,3,0,0,0
Medway Maritime Hospital,3,3,2,2,0,1,0
Nottingham University Hospitals NHS Trust,3,3,3,3,0,0,0
"Department of Housing, Communities & Local Government",3,5,7,0,0,3,0
London Borough of Hackney,3,5,4,2,0,1,0
Medway NHS Trust,3,3,0,0,0,3,0
Central London Community Healthcare NHS Trust,3,4,3,2,0,0,1
University Hospital Leicester,3,5,2,1,0,2,0
Department of Transport,3,8,5,2,0,0,1
Avon and Wiltshire NHS Mental Health Trust,3,13,11,1,1,1,0
Mid Yorkshire NHS Trust,3,5,2,1,0,2,0
The Office of Rail & Road,3,8,4,0,1,2,0
Midlands Partnership Foundation Trust,3,6,3,1,0,1,1
Portsmouth City Council,3,5,3,2,0,1,0
Manchester City Council,3,7,5,1,1,1,0
Manchester Clinical Commissioning Group,3,9,1,1,0,2,0
Ofgem,3,17,7,1,1,1,0
Chesterfield Royal Hospital,3,6,2,1,1,1,0
Cheshire East Highways Department,3,6,6,3,0,0,0
Avon and Somerset Police,3,13,7,1,2,0,0
Midlands Partnership NHS Foundation Trust,3,5,5,3,0,0,0
Tower Hamlets Council,3,25,12,2,1,0,0
Denbighshire County Council,3,7,2,1,0,2,0
Bedfordshire Clinical Commissioning Group,3,3,3,3,0,0,0
Cornwall NHS Trust,3,8,5,1,0,1,1
University Hospitals Plymouth NHS Trust,3,5,5,2,1,0,0
London Borough of Tower Hamlets,3,7,5,1,1,1,0
London Borough of Redbridge,3,9,4,0,1,2,0
Milton Keynes Council,3,4,4,3,0,0,0
University Hospitals Bristol and Weston NHS Foundation Trust,3,9,7,1,2,0,0
Maritime Coastguard Agency,3,8,7,2,1,0,0
Pennine Acute NHS Trust,3,5,4,0,0,3,0
Oldham Council,3,6,7,2,0,1,0
London North West University Healthcare NHS Trust,3,10,3,1,1,1,0
Lancashire Care NHS Trust,3,3,2,2,0,0,1
Devon NHS Trust,3,8,7,2,0,0,1
Stoke on Trent City Council,3,5,4,2,0,1,0
SECAMBS,3,8,5,1,1,1,0
Home Secretary,3,5,3,1,0,2,0
HM Courts and Tribunals Service,3,11,5,1,0,2,0
St Andrews Healthcare,3,5,3,2,1,0,0
Royal Yachting Association,3,14,14,3,0,0,0
Royal United Hospitals Bath NHS Foundation Trust,3,10,4,1,0,2,0
St George’s University Hospital,3,7,1,0,0,2,1
Hull University Teaching Hospital,3,11,9,2,0,1,0
Royal United Hospital,3,4,2,2,0,1,0
Greater Manchester Mental Health,3,7,5,2,0,0,1
Greater Manchester Fire and Rescue Service,3,11,2,2,0,1,0
Royal National Lifeboat Institute,3,10,7,0,2,1,0
Google,3,17,14,1,2,0,0
Royal Free London NHS Trust,3,5,2,1,0,2,0
Royal Free London NHS Foundation Trust,3,4,1,1,0,1,1
Gloucestershire Health & Care NHS Foundation Trust,3,5,5,3,0,0,0
Gloucestershire County Council,3,4,2,2,0,1,0
HMP Bedford,3,7,1,0,0,2,1
Southern Health Foundation Trust,3,5,4,2,0,1,0
His Majesty’s Prison & Probation Service,3,6,2,1,1,1,0
Solent NHS Trust,3,5,4,2,1,0,0
Health and Care Professions Council,3,13,14,2,1,0,0
Sheffield Children’s NHS Foundation Trust,3,4,4,1,0,2,0
Shropshire Community Health NHS Trust,3,4,3,2,0,0,1
Heathview Medical Practice,3,5,5,2,1,0,0
Hampshire and Isle of Wight CCG,3,6,2,1,0,2,0
Sodexo,3,11,7,2,0,1,0
Hertfordshire Constabulary,3,5,2,2,0,1,0
Hampshire Constabulary,3,8,2,1,0,2,0
HMP Exeter,3,5,2,1,0,2,0
Somerset NHS Foundation Trust,3,3,2,2,0,1,0
HMP Wymott,3,4,4,1,0,2,0
HMP Swansea,3,6,3,1,0,2,0
Sandwell Hospital and West Birmingham Hospital NHS Trust,3,9,4,2,0,1,0
HMP Hewell,3,6,3,0,1,1,1
HMP Guys Marsh,3,12,11,2,1,0,0
South Western Railway,3,8,4,0,2,1,0
Royal Devon and Exeter NHS Trust,3,5,5,3,0,0,0
Suffolk Constabulary,3,6,1,0,0,2,1
Lincolnshire County Council Highways Department,3,3,3,3,0,0,0
International Academies of Emergency Dispatch,3,3,4,1,0,2,0
Rochdale Metropolitan Borough Council,3,8,1,1,0,2,0
Kirklees Council,3,5,2,0,2,1,0
The Barking Havering and Redbridge University NHS Trust,3,8,4,2,0,1,0
Lancashire Constabulary,3,21,18,1,2,0,0
Lancashire County Council,3,12,6,2,1,0,0
East Sussex County Council,3,4,4,3,0,0,0
East Riding of Yorkshire Council,3,7,6,2,1,0,0
East London NHS Foundation Trust,3,6,6,3,0,0,0
East & North Hertfordshire NHS Trust,3,4,3,2,0,1,0
EMIS,3,12,11,1,1,1,0
Leeds and York Partnership NHS Foundation Trust,3,3,3,3,0,0,0
RSSB,3,6,2,0,0,2,1
The Financial Conduct Authority,3,6,6,3,0,0,0
The General Medical Council,3,12,8,0,2,1,0
The Great Western Hospital NHS Foundation Trust,3,8,6,1,1,1,0
Light Rail Safety and Standards Board,3,8,8,0,1,2,0
The Home Secretary,3,12,2,1,0,2,0
Tees Esk Wear Valley NHS Foundation Trust,3,10,5,1,1,1,0
Kent and Medway Integrated Care Board,3,6,3,1,1,1,0
Essex Partnership University NHS Trust,3,6,6,3,0,0,0
Surrey and Borders Partnership,3,6,6,3,0,0,0
